outPkts,inPkts,outByts,inByts,outData,outDataByts,inData,inDataByts,outPkts/s,inPkts/s,outByts/s,inByts/s,byts/s,pkts/s,outPktLenMax,outPktLenMin,outPktLenMean,inPktLenMax,inPktLenMin,inPktLenMean,FIN,SYN,RST,PSH,ACK,URG,CWR,ECE
13,11,1476,4124,3,254,3,292,20.69,17.51,2349.16,6563.65,8912.81,38.2,569,569,113.53846153846153,1432,1432,374.90909090909093,1,1,0,1,1,0,0,0
10,7,1344,3609,4,273,0,0,4.81,3.36,645.94,1734.53,2380.4700000000003,8.17,569,569,134.4,1432,1432,515.5714285714286,1,1,0,1,1,0,0,0
9,8,1244,3919,2,235,2,249,12.5,11.11,1728.18,5444.32,7172.5,23.61,569,569,138.22222222222223,1432,1432,489.875,0,1,0,1,1,0,0,0
1,1,52,52,0,0,0,0,58.08,58.08,3020.37,3020.37,6040.74,116.16,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
3,2,535,903,0,0,0,0,1.88,1.26,335.75,566.7,902.45,3.1399999999999997,431,431,178.33333333333334,851,851,451.5,0,0,0,1,1,0,0,0
13,14,1444,4230,3,254,3,278,44.76,48.21,4972.21,14565.41,19537.62,92.97,569,569,111.07692307692308,1432,1432,302.14285714285717,1,1,1,1,1,0,0,0
17,21,1947,9546,4,520,9,3563,21.59,26.67,2472.71,12123.5,14596.21,48.260000000000005,569,569,114.52941176470588,1432,1432,454.57142857142856,0,1,0,1,1,0,0,0
17,16,1961,5235,4,526,7,863,39.66,37.33,4574.69,12212.39,16787.079999999998,76.99,569,569,115.35294117647058,1432,1432,327.1875,0,1,0,1,1,0,0,0
5,4,4413,430,3,4138,2,212,23.22,18.57,20491.69,1996.7,22488.39,41.79,2596,2596,882.6,239,239,107.5,0,0,0,1,1,0,0,0
0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,1,0,0,1,1,0,0,0
0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,1,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,6.3,6.3,327.4,327.4,654.8,12.6,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,0,76,0,1,19,0,0,0,0,0,0,0,0,76,76,76,0,0,0,1,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,33.21,33.21,1726.94,1726.94,3453.88,66.42,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,57.15,57.15,2972.05,2972.05,5944.1,114.3,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
0,1,0,114,0,0,1,26,0,0,0,0,0,0,0,0,0,114,114,114,1,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,6.25,6.25,325.19,325.19,650.38,12.5,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,0,76,0,1,19,0,0,0,0,0,0,0,0,76,76,76,0,0,0,1,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,135.97,135.97,7070.5,7070.5,14141.0,271.94,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
2,2,856,374,1,747,1,265,9.13,9.13,3908.71,1707.78,5616.49,18.26,804,804,428.0,322,322,187.0,0,0,0,1,1,0,0,0
4,3,1566,360,2,1348,2,194,19.5,14.62,7633.28,1754.78,9388.06,34.12,939,939,391.5,221,221,120.0,0,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,6.26,6.26,325.66,325.66,651.32,12.52,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,37.21,37.21,1934.95,1934.95,3869.9,74.42,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,5.02,5.02,260.8,260.8,521.6,10.04,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,6.12,6.12,318.38,318.38,636.76,12.24,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,20.01,20.01,1040.77,1040.77,2081.54,40.02,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,6.73,6.73,349.96,349.96,699.92,13.46,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
5,3,1986,360,3,1711,2,194,22.32,13.39,8864.14,1606.79,10470.93,35.71,1135,1135,397.2,221,221,120.0,0,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,13.26,13.26,689.27,689.27,1378.54,26.52,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
2,2,958,374,1,849,1,265,9.04,9.04,4329.46,1690.21,6019.67,18.08,906,906,479.0,322,322,187.0,0,0,0,1,1,0,0,0
68,62,5452,74102,13,1320,10,8159,25.39,23.15,2035.71,27668.71,29704.42,48.54,569,569,80.17647058823529,1500,1500,1195.193548387097,0,1,0,1,1,0,0,0
5,4,4870,748,3,4595,2,530,1.79,1.43,1742.86,267.69,2010.55,3.2199999999999998,2857,2857,974.0,322,322,187.0,0,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,29.45,29.45,1531.57,1531.57,3063.14,58.9,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,29.61,29.61,1539.87,1539.87,3079.74,59.22,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,0,76,0,1,19,0,0,0,0,0,0,0,0,76,76,76,0,0,0,1,0,0,1,1,0,0,0
10,14,19100,1268,2,3734,2,530,14.07,19.7,26880.84,1784.55,28665.39,33.769999999999996,2948,2948,1910.0,322,322,90.57142857142857,0,0,0,1,1,0,0,0
9,13,16186,1216,2,3738,2,530,13.4,19.35,24096.0,1810.25,25906.25,32.75,2948,2948,1798.4444444444443,322,322,93.53846153846153,0,0,0,1,1,0,0,0
5,7,5973,904,2,5687,2,530,9.82,13.75,11732.72,1775.72,13508.439999999999,23.57,2948,2948,1194.6,322,322,129.14285714285714,0,0,0,1,1,0,0,0
10,8,1717,4146,1,845,1,265,14.02,11.21,2406.58,5811.11,8217.689999999999,25.23,902,902,171.7,1500,1500,518.25,0,1,0,1,1,0,0,0
10,8,1716,4146,1,844,1,265,14.9,11.92,2556.88,6177.63,8734.51,26.82,901,901,171.6,1500,1500,518.25,0,1,0,1,1,0,0,0
1,2,52,374,0,0,1,265,299.61,599.23,15579.96,112055.84,127635.79999999999,898.84,52,52,52.0,322,322,187.0,0,0,0,1,1,0,0,0
